timestamp,batch_id,temperature_c,pressure_mpa,speed_m_min,flow_l_min
2025-05-10 08:15:00,BATCH-N001,179.0,0.60,20.0,10.0
2025-05-10 08:45:00,BATCH-N001,180.0,0.61,20.1,10.1
2025-05-10 09:15:00,BATCH-N001,181.0,0.60,19.9,9.9
2025-05-10 09:45:00,BATCH-N001,180.0,0.59,20.0,10.0
2025-05-10 20:15:00,BATCH-N002,178.0,0.60,20.0,10.0
2025-05-10 20:45:00,BATCH-N002,179.0,0.60,20.1,10.1
2025-05-10 21:15:00,BATCH-N002,180.0,0.61,20.0,10.0
2025-05-10 21:45:00,BATCH-N002,179.0,0.60,19.9,9.9
2025-05-11 08:15:00,BATCH-A001,188.0,0.61,20.0,10.0
2025-05-11 08:45:00,BATCH-A001,189.0,0.60,20.1,10.0
2025-05-11 09:15:00,BATCH-A001,190.0,0.61,19.9,9.9
2025-05-11 09:45:00,BATCH-A001,191.0,0.60,20.0,10.1
2025-05-11 20:15:00,BATCH-A002,189.0,0.60,20.0,10.0
2025-05-11 20:45:00,BATCH-A002,190.0,0.61,20.1,10.0
2025-05-11 21:15:00,BATCH-A002,191.0,0.60,20.0,9.9
2025-05-11 21:45:00,BATCH-A002,190.0,0.59,19.9,10.0
2025-05-12 08:20:00,BATCH-I-N01,164.0,0.42,15.0,8.0
2025-05-12 08:40:00,BATCH-I-N01,165.0,0.43,15.1,8.1
2025-05-12 20:20:00,BATCH-I-A01,169.0,0.44,15.0,8.0
2025-05-12 20:40:00,BATCH-I-A01,170.0,0.45,15.1,8.1
