batch_id,production_date,product_id,line_id,shift,output_qty,mes_received_at
B-20260724-A01,2026-07-24,P-100,L-01,白班,100,2026-07-24T18:10:00
B-20260724-A02,2026-07-24,P-100,L-01,夜班,100,2026-07-25T01:20:00
B-20260724-A03,2026-07-24,P-100,L-02,白班,120,2026-07-24T18:30:00
B-20260724-B01,2026-07-24,P-200,L-02,夜班,80,2026-07-25T01:35:00
B-20260724-B02,2026-07-24,P-200,L-03,中班,100,2026-07-24T23:10:00
B-20260725-A01,2026-07-25,P-100,L-01,白班,100,2026-07-25T18:05:00
B-20260725-A02,2026-07-25,P-100,L-01,夜班,100,2026-07-26T01:15:00
B-20260725-A03,2026-07-25,P-100,L-02,白班,120,2026-07-25T18:40:00
B-20260725-B01,2026-07-25,P-200,L-02,夜班,80,2026-07-26T01:30:00
B-20260725-B02,2026-07-25,P-200,L-03,中班,100,2026-07-26T07:30:00
