batch_id,defect_code,defect_name,defect_qty
B-20260724-A01,SCRATCH,表面划伤,2
B-20260724-A01,BURR,毛刺,1
B-20260724-A02,SCRATCH,表面划伤,1
B-20260724-A02,DIM,尺寸超差,1
B-20260724-A02,STAIN,表面污渍,1
B-20260724-A02,BURR,毛刺,1
B-20260724-A03,SCRATCH,表面划伤,2
B-20260724-A03,BURR,毛刺,2
B-20260724-A03,DIM,尺寸超差,1
B-20260724-A03,CONTAM,污染异物,1
B-20260724-B01,SCRATCH,表面划伤,1
B-20260724-B01,DIM,尺寸超差,1
B-20260724-B01,CONTAM,污染异物,1
B-20260724-B01,STAIN,表面污渍,1
B-20260724-B02,SCRATCH,表面划伤,1
B-20260724-B02,BURR,毛刺,1
B-20260724-B02,DIM,尺寸超差,1
B-20260724-B02,STAIN,表面污渍,1
B-20260724-B02,CONTAM,污染异物,1
B-20260725-A01,SCRATCH,表面划伤,2
B-20260725-A01,BURR,毛刺,1
B-20260725-A01,STAIN,表面污渍,1
B-20260725-A02,SCRATCH,表面划伤,3
B-20260725-A02,DIM,尺寸超差,2
B-20260725-A02,BURR,毛刺,1
B-20260725-A03,DIM,尺寸超差,8
B-20260725-A03,BURR,毛刺,5
B-20260725-A03,SCRATCH,表面划伤,4
B-20260725-A03,STAIN,表面污渍,2
B-20260725-B01,CONTAM,污染异物,2
B-20260725-B01,STAIN,表面污渍,1
B-20260725-B01,SCRATCH,表面划伤,1
B-20260725-B02,CONTAM,污染异物,3
B-20260725-B02,SCRATCH,表面划伤,2
B-20260725-B02,BURR,毛刺,2
B-20260725-B02,DIM,尺寸超差,1
