timestamp,batch_id,spindle_temperature_c,feed_rate_mm_s,clamp_pressure_mpa
2026-07-26T08:05:00+08:00,BATCH-N001,39.8,12.0,5.01
2026-07-26T08:15:00+08:00,BATCH-N001,40.0,12.1,4.99
2026-07-26T08:25:00+08:00,BATCH-N001,40.1,12.0,5.00
2026-07-26T08:35:00+08:00,BATCH-N001,40.2,11.9,5.02
2026-07-26T08:45:00+08:00,BATCH-N001,40.3,12.0,5.01
2026-07-26T08:55:00+08:00,BATCH-N001,40.2,12.0,5.00
2026-07-26T09:15:00+08:00,BATCH-N002,39.9,12.0,5.00
2026-07-26T09:25:00+08:00,BATCH-N002,40.0,12.0,4.98
2026-07-26T09:35:00+08:00,BATCH-N002,40.2,12.1,5.01
2026-07-26T09:45:00+08:00,BATCH-N002,40.4,12.0,5.00
2026-07-26T09:55:00+08:00,BATCH-N002,40.5,11.9,5.02
2026-07-26T10:05:00+08:00,BATCH-N002,40.4,12.0,5.01
2026-07-26T13:05:00+08:00,BATCH-A001,46.8,12.0,5.01
2026-07-26T13:15:00+08:00,BATCH-A001,47.1,12.1,5.00
2026-07-26T13:25:00+08:00,BATCH-A001,47.4,12.0,4.99
2026-07-26T13:35:00+08:00,BATCH-A001,47.6,11.9,5.01
2026-07-26T13:45:00+08:00,BATCH-A001,47.9,12.0,5.00
2026-07-26T13:55:00+08:00,BATCH-A001,48.0,12.0,5.02
2026-07-26T14:15:00+08:00,BATCH-A002,47.0,12.0,5.00
2026-07-26T14:25:00+08:00,BATCH-A002,47.3,12.0,4.99
2026-07-26T14:35:00+08:00,BATCH-A002,47.7,12.1,5.01
2026-07-26T14:45:00+08:00,BATCH-A002,48.0,12.0,5.00
2026-07-26T14:55:00+08:00,BATCH-A002,48.2,11.9,5.02
2026-07-26T15:05:00+08:00,BATCH-A002,48.3,12.0,5.01
2026-07-27T08:10:00+08:00,BATCH-N003,36.0,9.0,4.50
2026-07-27T08:20:00+08:00,BATCH-N003,36.2,9.1,4.49
2026-07-27T10:10:00+08:00,BATCH-A003,38.0,9.0,4.50
2026-07-27T10:20:00+08:00,BATCH-A003,38.3,9.1,4.51
