timestamp,equipment_id,pressure_mpa,temperature_c,vibration_mm_s,quality_score
2026-07-21T08:00:00,E-101,1.20,82.1,2.3,98.6
2026-07-21T09:00:00,E-101,1.19,81.8,2.1,98.9
2026-07-21T10:00:00,E-101,1.21,82.4,2.4,98.4
2026-07-21T11:00:00,E-101,1.20,82.0,2.2,98.7
2026-07-21T12:00:00,E-101,1.22,82.7,2.5,98.1
2026-07-21T13:00:00,E-101,1.86,95.1,8.7,76.5
2026-07-21T14:00:00,E-101,1.79,93.8,7.9,80.2
2026-07-21T15:00:00,E-101,1.24,83.2,2.8,97.9
2026-07-21T08:00:00,E-102,1.08,78.6,1.8,99.1
2026-07-21T09:00:00,E-102,1.10,79.0,1.9,98.8
2026-07-21T10:00:00,E-102,1.09,78.8,1.7,99.0
2026-07-21T11:00:00,E-102,1.11,79.2,1.9,98.6
